question,difficulty_component,difficulty,table_name,column_name
How many sales territories have more than a certain number of producers associated with them as of the most recent reporting period?,HAVING,Easy,SALES_USER,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Could you provide an updated list of producers who have more than three unique email contacts associated with them as of the most recent date?,WHERE,Easy,SALESFORCE_POLICY_PRODUCER,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
How many sales representatives have processed an above-average number of client accounts in their territory as of the most recent update?,JOIN,Easy,SALESFORCE_TRANSACTIONS_PPA,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Can you identify which producers have a higher than average number of distinct email addresses associated with their accounts as of the latest update?,LIMIT,Easy,SALESFORCE_TRANSACTIONS_PPA,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Can we identify the producers who have a higher than average number of specific email types associated with their records within a certain period?,HAVING,Easy,SALESFORCE_POLICY_PRODUCER,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Which sales territories have more than a certain number of producers whose status has been processed up to a certain date?,JOIN,Easy,SALESFORCE_ACCOUNT_CONTACT_ASSOC,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
How many sales territories have a greater than average number of producers associated primarily with each sales representative's email address?,LIMIT,Easy,SALES_USER,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
How many sales territories have a count of producers exceeding a certain threshold as of the latest date on record?,OR,Easy,SALESFORCE_AGENT_CONTACT_META,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
How many sales territories have more than ten producers whose data processing status is as of the most recent update?,HAVING,Easy,SALESFORCE_STATIC_ESC,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Can you identify which producers have more than a certain number of email addresses associated with their records as of the latest date in our records?,JOIN,Easy,SALESFORCE_TRANSACTION_PPA_ROLLUP,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
How many producers have an above-average number of associated art territories based on the latest records available?,ORDER BY,Easy,SALESFORCE_BD_TERRITORY,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Which producers have an email count exceeding a specific threshold for any of their associated email types as of the most recent date?,ORDER BY,Easy,SALES_PRODUCER,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
How many salespeople have processed status counts exceeding a specific threshold as of the latest date?,ORDER BY,Easy,SALESFORCE_POLICY_PRODUCER,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
What are the unique email addresses that have handled more than a certain number of producers as of the latest date in record?,GROUP BY,Easy,SALESFORCE_AGENT_LICENSE,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
How many producers have a count of territories assigned that exceeds the average number of territories per producer on the most recent date for which we have records?,LIMIT,Easy,SALES_POLICY_TRANSACTION_PPA_AFFILIATION,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
